CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,CodingScore,PlacementStatus
6.5,1,3,2,74,4.16,Yes,No,56,76,12,NotPlaced
7.57,0,0,1,75,3.99,No,Yes,56,64,7,NotPlaced
7.86,0,3,1,88,4.77,Yes,Yes,68,81,20,Placed
7.64,1,2,1,73,4.18,No,No,64,68,15,NotPlaced
8.44,2,3,2,81,4.07,No,No,69,77,10,NotPlaced
8.32,2,3,2,76,3.92,Yes,Yes,71,61,9,NotPlaced
8.13,1,3,0,86,4.43,Yes,Yes,70,81,23,Placed
7.55,0,2,1,83,4.13,No,Yes,57,69,10,NotPlaced
7.85,0,1,2,73,3.33,No,Yes,62,69,9,NotPlaced
8.0,1,3,2,82,4.8,No,Yes,86,82,21,Placed
8.81,1,1,2,84,4.44,Yes,Yes,70,85,19,Placed
7.19,1,1,0,72,4.38,No,Yes,69,76,12,NotPlaced
7.87,1,2,0,75,4.3,No,No,62,75,4,NotPlaced
6.5,2,2,0,79,3.95,No,No,71,67,17,NotPlaced
8.18,0,3,1,86,4.56,Yes,Yes,66,75,18,Placed
7.51,1,2,0,78,4.2,Yes,Yes,64,67,4,NotPlaced
8.3,2,2,2,85,4.45,Yes,Yes,81,75,22,Placed
7.95,2,3,2,82,4.15,No,No,62,71,11,NotPlaced
7.07,1,3,2,70,4.5,No,No,68,74,10,NotPlaced
7.11,1,2,0,74,4.07,No,No,58,68,15,NotPlaced
6.94,1,2,2,74,4.34,No,No,74,82,11,NotPlaced
8.43,2,3,1,87,4.45,Yes,Yes,79,85,21,Placed
7.16,1,3,0,73,4.46,No,Yes,71,69,19,NotPlaced
7.36,1,2,0,69,4.13,No,No,66,73,10,NotPlaced
6.93,1,2,0,82,3.71,No,No,67,66,9,NotPlaced
7.21,0,1,0,70,4.51,No,Yes,68,68,11,NotPlaced
8.31,2,3,1,90,4.28,Yes,Yes,79,75,13,Placed
7.95,1,2,2,77,4.44,No,Yes,69,65,9,NotPlaced
7.75,1,3,0,79,4.36,No,No,70,76,16,NotPlaced
7.13,1,3,0,71,4.21,No,No,55,71,11,NotPlaced
8.29,2,2,2,84,4.46,Yes,Yes,75,82,25,Placed
8.06,0,2,2,90,4.56,Yes,Yes,76,86,16,Placed
7.24,0,3,2,80,4.17,No,No,66,68,8,NotPlaced
7.34,2,3,0,67,4.37,No,Yes,57,64,12,NotPlaced
7.58,1,3,2,74,4.18,No,No,70,72,13,NotPlaced
7.95,1,3,0,85,4.08,No,Yes,83,82,17,Placed
7.87,1,3,0,79,4.05,Yes,No,71,69,6,NotPlaced
8.43,2,3,2,87,4.59,Yes,Yes,85,83,16,Placed
8.06,1,3,2,87,4.8,Yes,Yes,82,78,16,Placed
7.81,1,1,2,78,4.4,No,Yes,71,69,17,NotPlaced
7.62,0,2,1,77,4.01,No,Yes,63,69,21,NotPlaced
7.47,2,3,1,84,4.5,Yes,Yes,73,78,27,Placed
7.6,2,2,2,76,4.08,No,Yes,58,65,11,NotPlaced
7.18,1,1,2,88,4.67,Yes,Yes,78,78,22,Placed
6.94,1,2,1,74,4.04,No,No,72,82,14,NotPlaced
8.11,1,3,2,85,4.77,Yes,Yes,77,84,25,Placed
7.57,1,2,2,75,4.26,No,No,62,77,12,NotPlaced
7.42,2,3,2,88,4.61,Yes,Yes,56,86,16,Placed
8.76,1,2,2,81,4.44,Yes,Yes,68,86,22,Placed
8.92,2,3,2,88,4.46,Yes,Yes,85,87,19,Placed
7.22,1,3,2,82,4.57,Yes,Yes,73,80,24,Placed
7.47,2,1,2,76,4.46,No,No,64,75,9,NotPlaced
7.09,1,3,1,75,4.15,Yes,Yes,59,73,9,NotPlaced
7.42,2,2,2,79,4.12,No,No,71,67,23,NotPlaced
8.22,1,3,2,90,4.57,Yes,No,65,80,19,Placed
6.93,1,2,0,71,3.95,No,Yes,65,72,15,NotPlaced
7.93,1,3,2,85,4.77,No,Yes,81,77,26,Placed
7.26,2,2,1,71,3.97,No,No,61,72,3,NotPlaced
8.21,1,3,2,84,4.56,Yes,Yes,76,82,22,Placed
8.0,1,3,1,80,4.72,Yes,Yes,82,82,18,Placed
8.27,0,1,2,88,4.4,Yes,Yes,66,81,25,Placed
8.26,0,2,1,78,4.15,No,Yes,68,66,11,NotPlaced
7.08,1,1,2,72,3.7,No,No,67,67,7,NotPlaced
8.1,1,3,2,85,4.74,Yes,Yes,81,79,24,Placed
7.43,0,1,2,82,4.33,Yes,Yes,62,77,23,Placed
7.57,1,3,0,70,3.76,No,Yes,58,70,5,NotPlaced
7.95,1,1,0,90,4.69,Yes,Yes,87,82,25,Placed
7.14,2,3,0,75,4.24,No,Yes,73,65,4,NotPlaced
7.65,1,3,1,74,4.11,No,No,62,67,16,NotPlaced
7.6,1,3,2,83,4.29,Yes,Yes,76,77,22,Placed
7.55,1,2,2,69,4.62,Yes,No,62,70,10,NotPlaced
8.03,2,3,0,84,4.35,No,Yes,73,84,23,Placed
7.89,2,3,2,81,4.37,Yes,Yes,60,82,13,Placed
8.25,1,3,1,86,4.39,Yes,Yes,72,74,25,Placed
8.12,1,2,2,87,4.54,Yes,Yes,70,75,24,Placed
7.22,0,3,0,80,4.48,No,Yes,63,70,10,NotPlaced
7.71,1,3,2,87,4.44,Yes,Yes,72,79,21,Placed
7.36,2,3,0,79,4.23,Yes,No,61,78,6,NotPlaced
6.94,1,3,2,69,3.98,Yes,No,57,67,12,NotPlaced
8.05,0,3,1,82,4.8,Yes,Yes,88,88,23,Placed
7.78,1,1,0,72,4.11,No,Yes,65,73,10,NotPlaced
7.46,1,3,2,87,4.7,Yes,No,77,86,24,Placed
7.52,2,1,1,69,4.02,No,Yes,63,68,1,NotPlaced
8.29,0,3,0,89,4.65,Yes,Yes,77,73,26,Placed
6.99,1,3,0,81,4.16,No,No,59,64,9,NotPlaced
8.23,2,3,1,82,4.57,No,Yes,74,79,28,Placed
8.5,1,3,1,78,4.68,Yes,Yes,79,84,23,Placed
8.24,1,3,2,84,4.54,Yes,Yes,74,83,22,Placed
7.21,1,2,2,75,4.34,No,Yes,59,62,9,NotPlaced
7.08,0,1,2,83,4.23,No,Yes,61,71,3,NotPlaced
7.21,0,3,2,85,4.16,No,No,65,70,15,NotPlaced
7.56,0,3,2,74,4.78,No,Yes,62,81,6,NotPlaced
7.37,0,3,0,76,4.08,No,Yes,68,74,13,NotPlaced
8.01,2,2,2,90,4.66,Yes,Yes,72,85,14,Placed
7.55,1,1,2,82,4.58,Yes,No,85,84,20,Placed
7.62,2,3,0,86,4.29,Yes,Yes,71,76,23,Placed
6.5,2,3,0,70,3.59,No,No,68,68,11,NotPlaced
7.91,2,2,0,76,4.09,No,Yes,60,72,11,NotPlaced
7.68,1,3,1,77,4.13,No,Yes,64,74,13,NotPlaced
7.84,0,2,2,75,4.34,No,No,61,62,17,NotPlaced
8.54,1,3,0,88,4.51,Yes,Yes,64,79,24,Placed
7.75,2,2,2,81,4.28,No,No,77,73,15,NotPlaced
7.26,1,2,2,73,3.79,No,No,65,76,12,NotPlaced
8.23,2,2,2,73,4.2,No,No,71,68,10,NotPlaced
6.88,1,2,2,77,4.09,No,No,68,67,3,NotPlaced
7.56,0,2,2,84,4.5,Yes,Yes,75,81,22,Placed
8.38,1,2,2,89,4.8,Yes,Yes,85,81,19,Placed
7.15,0,3,2,82,4.27,No,Yes,57,73,13,NotPlaced
7.37,1,3,0,81,4.8,No,No,60,69,12,NotPlaced
8.33,2,3,1,81,4.54,Yes,Yes,71,83,19,Placed
7.06,0,2,0,74,3.9,No,Yes,66,68,1,NotPlaced
8.26,1,2,0,76,3.67,No,Yes,63,77,10,NotPlaced
8.23,2,2,2,78,4.41,Yes,Yes,79,82,20,Placed
7.51,1,2,1,74,4.52,Yes,Yes,86,83,21,Placed
8.06,1,3,1,70,4.1,Yes,No,71,70,11,NotPlaced
8.2,1,3,1,85,4.68,Yes,Yes,77,74,24,Placed
7.49,1,2,2,83,3.97,No,No,63,62,16,NotPlaced
7.7,2,3,2,90,4.54,Yes,Yes,61,77,22,Placed
7.05,0,3,1,86,4.12,Yes,Yes,63,77,11,Placed
7.7,1,2,2,85,4.52,Yes,Yes,81,84,15,Placed
7.46,1,1,1,83,4.72,No,No,60,74,17,NotPlaced
7.47,2,2,1,76,3.89,No,Yes,62,77,16,NotPlaced
7.33,1,0,1,75,4.0,No,Yes,62,74,12,NotPlaced
7.69,2,2,0,69,4.46,Yes,No,71,72,4,NotPlaced
7.79,2,3,2,90,4.57,Yes,Yes,78,88,22,Placed
6.84,2,1,2,68,4.5,No,Yes,78,74,13,NotPlaced
7.84,2,3,2,81,4.45,Yes,No,70,81,19,Placed
7.71,1,2,2,88,4.22,Yes,Yes,65,72,19,Placed
7.65,1,2,0,78,4.2,No,No,65,75,16,NotPlaced
7.94,1,2,2,89,4.77,Yes,Yes,71,81,18,Placed
7.19,1,3,0,78,4.31,No,Yes,64,77,9,NotPlaced
8.24,2,3,0,84,4.18,Yes,Yes,73,75,24,Placed
8.14,2,3,2,83,4.31,Yes,Yes,76,79,27,Placed
